Tax Year,Place of Residence,Average NY AGI of All Returns,Average Tax of All Returns,Average NY AGI of Taxable Returns,Average Tax of Taxable Returns,Average NY AGI of Nontaxable Returns,County Sort Order
2010,Suffolk,69331,3523,93505,5002,6693,53
2010,Sullivan,41794,1479,59858,2557,9005,54
2010,Tioga,43258,1516,58777,2473,12253,55
2010,Tompkins,51761,2318,68403,3342,7893,56
2010,Ulster,47546,1987,65842,3037,7124,57
2010,Warren,43346,1829,62488,2891,4156,58
2010,Washington,36698,1167,51496,2029,9011,59
2010,Wayne,40882,1441,55057,2317,10229,60
2010,Westchester,118990,7399,167133,10589,2194,61
2010,Wyoming,38478,1279,51837,2120,9987,62
2010,Yates,36228,1171,52604,2225,10551,63
2010,"Total, Counties Outside of New York City",61738,3037,86154,4552,6532,64
2010,NYS Unclassified +,84141,4437,123553,6787,7000,65
2013,Cattaraugus,37922,1193,55000,2213,9985,10
2010,Residence Unknown ++,420675,32141,621489,45523,-70466,66
2010,"Grand Total, Full-Year Resident",64058,3342,93817,5285,6139,67
2009,Delaware,34423,1128,52295,2134,7554,18
2009,New York City - Bronx,30904,693,49287,1968,11407,1
2009,New York City - Kings,41324,1515,63711,3007,9564,2
2009,New York City - Manhattan,141218,9956,207644,14553,-12240,3
2009,New York City - Queens,39219,1374,58478,2569,9537,4
2009,New York City - Richmond,54890,2287,75735,3463,7665,5
2009,"Total, New York City",61803,3244,97218,5673,6112,6
2009,Albany,51347,2280,69546,3444,8005,7
2009,Allegany,35634,1085,51549,2036,9888,8
2009,Broome,40910,1528,58205,2632,8698,9
2009,Cattaraugus,35108,1080,50632,2035,9806,10
2009,Cayuga,38724,1334,53850,2261,8978,11
2009,Chautauqua,34692,1022,50451,1992,10256,12
2009,Chemung,40686,1479,58980,2603,9630,13
2009,Chenango,34043,1051,49986,1998,8311,14
2009,Clinton,40976,1515,56569,2459,9079,15
2009,Columbia,44630,1883,65795,3023,3142,16
2009,Cortland,39031,1326,53867,2275,9877,17
2009,Dutchess,58591,2602,78400,3740,7359,19
2009,Erie,45631,1918,63236,3017,8410,20
2009,Essex,37114,1309,54369,2261,6456,21
2009,Franklin,35152,1145,51885,2150,7658,22
2009,Fulton,35385,1115,50206,2025,9573,23
2009,Genesee,38471,1332,53282,2191,8096,24
2009,Greene,40949,1587,58185,2562,7230,25
2009,Hamilton,33525,1210,52460,2211,6244,26
2009,Herkimer,35540,1109,49985,1992,9466,27
2009,Jefferson,38362,1339,54403,2362,9544,28
2009,Lewis,35884,1131,50900,2037,8074,29
2009,Livingston,41133,1468,56625,2376,8190,30
2009,Madison,44309,1704,61025,2765,9146,31
2009,Monroe,46932,1940,65456,3100,8747,32
2009,Montgomery,36241,1153,51676,2119,9368,33
2009,Nassau,81865,4574,114741,6545,617,34
2009,Niagara,39336,1445,54854,2366,8345,35
2009,Oneida,38985,1413,55640,2448,8859,36
2009,Onondaga,48266,1989,66206,3147,9684,37
2009,Ontario,47584,1972,65689,3070,8337,38
2009,Orange,56077,2160,75850,3284,10000,39
2009,Orleans,34714,964,48584,1878,10328,40
2009,Oswego,38570,1319,53849,2236,9268,41
2009,Otsego,38252,1414,55952,2462,7821,42
2009,Putnam,71539,3306,93124,4484,6768,43
2009,Rensselaer,45952,1809,61885,2761,8806,44
2009,Rockland,67659,2948,97372,4564,5359,45
2009,St. Lawrence,37429,1275,54540,2314,8620,46
2009,Saratoga,56996,2655,75358,3732,6492,47
2009,Schenectady,46132,1821,63815,2958,8794,48
2009,Schoharie,37596,1330,54616,2281,6664,49
2009,Schuyler,36078,1159,51710,2086,9138,50
2009,Seneca,36627,1181,52090,2145,9697,51
2009,Steuben,39407,1409,57373,2512,9205,52
2009,Suffolk,67405,3337,91538,4812,7331,53
2009,Sullivan,41130,1417,59014,2486,9494,54
2009,Tioga,42334,1486,58713,2482,11318,55
2009,Tompkins,50973,2262,67755,3291,7869,56
2009,Ulster,46326,1890,64872,2936,6718,57
2009,Warren,42298,1726,61150,2793,5640,58
2009,Washington,35826,1099,50503,1941,8942,59
2009,Wayne,39900,1364,54223,2235,9865,60
2009,Westchester,108405,6431,153374,9338,3128,61
2009,Wyoming,37135,1209,51218,2062,8331,62
2009,Yates,34071,999,50087,1989,10141,63
2009,"Total, Counties Outside of New York City",59218,2805,83103,4271,6957,64
2009,NYS Unclassified +,63695,3219,95317,4971,1789,65
2009,Residence Unknown ++,355608,28691,578353,42144,-122609,66
2009,"Grand Total, Full-Year Resident",60707,3024,89316,4872,6394,67
2008,New York City - Bronx,30631,712,49340,1936,10621,1
2008,New York City - Kings,43090,1560,65749,2972,9428,2
2008,New York City - Manhattan,174149,10234,250301,14614,-10509,3
2008,New York City - Queens,41213,1477,60395,2626,9571,4
2008,New York City - Richmond,56582,2300,76878,3404,8158,5
2008,"Total, New York City",70272,3358,109185,5692,6256,6
2008,Albany,52037,2253,69442,3285,8038,7
2008,Allegany,36766,1155,52534,2054,9536,8
2008,Broome,42317,1519,57767,2520,10771,9
2008,Cattaraugus,35840,1109,50528,1968,9978,10
2008,Cayuga,39267,1349,53468,2198,9437,11
2008,Chautauqua,36037,1116,51685,2039,9932,12
2008,Chemung,41955,1540,59254,2561,9304,13
2008,Chenango,34989,1116,50309,1987,7903,14
2008,Clinton,39728,1422,54279,2245,8407,15
2008,Columbia,48720,1960,68377,3012,6154,16
2008,Cortland,38952,1294,52782,2146,10087,17
2008,Delaware,37270,1283,55189,2272,7841,18
2008,Dutchess,61657,2678,80931,3746,8069,19
2008,Erie,46294,1877,63477,2889,8258,20
2008,Essex,38647,1348,55646,2247,6648,21
2008,Franklin,35190,1121,50440,2016,8557,22
2008,Fulton,36526,1190,51133,2048,9300,23
2008,Genesee,39979,1404,54405,2222,8551,24
2008,Greene,41780,1580,58391,2485,7542,25
2008,Hamilton,36808,1325,54317,2236,7593,26
2008,Herkimer,35627,1100,49319,1911,9645,27
2008,Jefferson,38497,1281,52860,2176,11035,28
2008,Lewis,36917,1144,50677,1979,10272,29
2008,Livingston,41399,1486,55915,2330,8539,30
2008,Madison,45915,1721,62049,2713,8812,31
2008,Monroe,49042,1995,67084,3076,8947,32
2008,Montgomery,36326,1150,50784,2038,9643,33
2008,Nassau,89828,4517,122356,6320,3476,34
2008,Niagara,39957,1449,54678,2297,8725,35
2008,Oneida,39997,1439,56214,2402,8761,36
2008,Onondaga,49820,2007,67340,3103,10032,37
2008,Ontario,47422,1884,63907,2844,8892,38
2008,Orange,57269,2150,76394,3197,10338,39
2008,Orleans,35832,1052,49553,1930,9977,40
2008,Oswego,39284,1380,54348,2248,8652,41
2008,Otsego,40380,1486,57721,2476,8114,42
2008,Putnam,80167,3699,102885,4912,7122,43
2008,Rensselaer,46032,1781,61044,2650,8912,44
2008,Rockland,73865,3078,102996,4598,7586,45
2008,St. Lawrence,37900,1287,53823,2225,9111,46
2008,Saratoga,58612,2622,76151,3611,7132,47
2008,Schenectady,46705,1848,63375,2839,9009,48
2008,Schoharie,38159,1322,53838,2183,7712,49
2008,Schuyler,36766,1197,50926,2028,9373,50
2008,Seneca,37633,1247,52587,2146,9613,51
2008,Steuben,42358,1564,60190,2630,9444,52
2008,Suffolk,74279,3492,99154,4922,8092,53
2008,Sullivan,42221,1466,59558,2464,9302,54
2008,Tioga,42962,1522,58199,2405,10713,55
2008,Tompkins,54825,2398,71291,3370,8401,56
2008,Ulster,47936,1925,65711,2897,7026,57
2008,Warren,43009,1694,60361,2632,6122,58
2008,Washington,36739,1141,50694,1930,9522,59
2008,Wayne,40688,1420,54440,2229,9517,60
2008,Westchester,125686,6540,172152,9187,5550,61
2008,Wyoming,39070,1288,51909,2077,10328,62
2008,Yates,35259,1039,50386,1964,10994,63
2008,"Total, Counties Outside of New York City",63693,2845,87499,4211,7837,64
2008,NYS Unclassified +,164655,9784,237980,14310,4602,65
2008,Residence Unknown ++,222859,13066,355666,19838,-36593,66
2008,"Grand Total, Full-Year Resident",66540,3066,96090,4796,7057,67
2013,Cayuga,43455,1488,58900,2505,12618,11
2007,New York City - Bronx,31098,653,48565,1897,12113,1
2007,New York City - Kings,43352,1503,65359,2935,11537,2
2007,New York City - Manhattan,208021,12014,288074,17154,10994,3
2007,New York City - Queens,40485,1402,58553,2514,10721,4
2007,New York City - Richmond,57304,2303,76453,3391,10576,5
2007,"Total, New York City",80249,3865,121901,6537,11290,6
2007,Albany,53819,2298,70425,3323,10056,7
2007,Allegany,35375,1043,49683,1870,10646,8
2007,Broome,41723,1459,56689,2444,11117,9
2007,Cattaraugus,35842,1096,49995,1949,10884,10
2007,Cayuga,39427,1301,52550,2127,11500,11
2007,Chautauqua,36366,1117,51132,2000,10948,12
2007,Chemung,41270,1480,58452,2512,10162,13
2007,Chenango,35367,1082,49392,1914,10262,14
2007,Clinton,40855,1433,54614,2261,10578,15
2007,Columbia,55908,2093,70280,3160,23438,16
2007,Cortland,39517,1294,53145,2162,11053,17
2007,Delaware,38194,1309,55657,2300,9224,18
2007,Dutchess,63189,2697,81263,3782,10699,19
2007,Erie,46891,1882,64053,2922,9472,20
2007,Essex,43870,1491,61699,2446,9571,21
2007,Franklin,35426,1091,50293,1987,9895,22
2007,Fulton,37869,1263,52294,2137,10274,23
2007,Genesee,38123,1276,51387,2036,9525,24
2007,Greene,42420,1595,58233,2481,8982,25
2007,Hamilton,36976,1226,52193,2025,9198,26
2007,Herkimer,35368,1078,48424,1856,10462,27
2007,Jefferson,37520,1204,51609,2077,11103,28
2007,Lewis,36620,1068,49217,1860,12075,29
2007,Livingston,42229,1407,54838,2242,14078,30
2007,Madison,44708,1590,58860,2502,12332,31
2007,Monroe,51814,2137,70084,3261,10400,32
2007,Montgomery,35524,1078,49147,1940,10671,33
2007,Nassau,101645,5105,133202,7044,12049,34
2007,Niagara,39835,1431,54333,2268,9124,35
2007,Oneida,39756,1398,55004,2331,10004,36
2007,Onondaga,50448,1951,66616,3042,13047,37
2007,Ontario,48994,1944,65005,2903,10478,38
2007,Orange,57546,2125,75762,3150,12091,39
2007,Orleans,35256,1081,48898,1894,10348,40
2007,Oswego,38704,1302,52807,2134,10104,41
2007,Otsego,40407,1449,56111,2378,9935,42
2007,Putnam,84847,3856,106039,5017,10881,43
2007,Rensselaer,45827,1743,59815,2584,10581,44
2007,Rockland,76306,3120,102053,4548,12985,45
2007,St. Lawrence,36789,1194,51917,2090,9811,46
2007,Saratoga,56926,2479,72501,3386,9357,47
2007,Schenectady,47282,1869,63016,2834,10345,48
2007,Schoharie,38758,1306,53222,2125,9570,49
2007,Schuyler,36159,1127,49501,1921,10511,50
2007,Seneca,36626,1144,50354,1983,11032,51
2007,Steuben,43262,1588,61883,2709,10114,52
2007,Suffolk,75531,3510,98734,4895,11442,53
2007,Sullivan,42834,1450,59568,2448,11233,54
2007,Tioga,41917,1427,56355,2277,11911,55
2007,Tompkins,54088,2324,69438,3252,10081,56
2007,Ulster,49556,1981,66284,2946,9760,57
2007,Warren,46233,1834,62732,2799,9803,58
2007,Washington,39673,1303,54580,2174,10597,59
2007,Wayne,40679,1383,53820,2178,11132,60
2007,Westchester,155044,8261,205576,11382,12829,61
2007,Wyoming,38826,1250,51030,2015,11296,62
2007,Yates,36816,1109,51722,2042,12232,63
2007,"Total, Counties Outside of New York City",68369,3069,92071,4508,11137,64
2007,NYS Unclassified +,53316,2454,81276,4050,7123,65
2007,Residence Unknown ++,196088,10905,267199,15187,10480,66
2007,"Grand Total, Full-Year Resident",73412,3406,103710,5298,11209,67
2013,Essex,42106,1610,61674,2687,6070,21
2006,Delaware,36542,1201,53074,2131,9254,18
2006,New York City - Bronx,30779,613,46745,1774,12685,1
2006,New York City - Kings,41911,1393,62433,2734,11870,2
2006,New York City - Manhattan,164929,9215,226233,13129,12216,3
2006,New York City - Queens,39732,1347,56799,2396,10977,4
2006,New York City - Richmond,56275,2235,74062,3247,10700,5
2006,"Total, New York City",69998,3189,104283,5385,11799,6
2006,Albany,52910,2200,69191,3209,10491,7
2006,Allegany,33879,945,47842,1746,10799,8
2006,Broome,40630,1383,56027,2376,10208,9
2006,Cattaraugus,34700,1019,48231,1827,10933,10
2006,Cayuga,38360,1237,51163,2040,11355,11
2006,Chautauqua,35102,1024,49121,1875,10934,12
2006,Chemung,41298,1472,58105,2481,10265,13
2006,Chenango,34637,1033,48388,1857,10297,14
2006,Clinton,39212,1329,52296,2109,10451,15
2006,Columbia,54254,2169,73303,3257,10869,16
2006,Cortland,38137,1212,51263,2042,10991,17
2006,Dutchess,60239,2550,77233,3523,10459,19
2006,Erie,45795,1788,62194,2776,9638,20
2006,Essex,40775,1344,56003,2258,10566,21
2006,Franklin,34587,1034,48662,1884,10300,22
2006,Fulton,36509,1173,49914,1988,10407,23
2006,Genesee,37326,1229,49811,1949,9734,24
2006,Greene,41382,1544,56600,2400,9077,25
2006,Hamilton,36892,1233,50528,1993,11144,26
2006,Herkimer,34274,1012,46876,1754,10240,27
2006,Jefferson,36157,1125,50111,1977,10582,28
2006,Lewis,34307,947,46743,1704,10906,29
2006,Livingston,39889,1375,53336,2155,9616,30
2006,Madison,43692,1526,57953,2430,11270,31
2006,Monroe,49728,1986,66761,3028,10486,32
2006,Montgomery,34707,1033,47852,1852,10348,33
2006,Nassau,94738,4692,124412,6468,11525,34
2006,Niagara,39476,1403,53571,2214,9236,35
2006,Oneida,38590,1311,53155,2199,10307,36
2006,Onondaga,48621,1850,64291,2867,12114,37
2006,Ontario,46849,1813,62209,2722,10177,38
2006,Orange,56751,2090,74113,3081,11989,39
2006,Orleans,34745,1039,47681,1808,10431,40
2006,Oswego,37695,1233,51366,2031,10101,41
2006,Otsego,39910,1415,55011,2300,9786,42
2006,Putnam,74788,3217,93152,4197,10976,43
2006,Rensselaer,44488,1669,58195,2474,9867,44
2006,Rockland,75042,2995,99498,4322,13045,45
2006,St. Lawrence,36258,1154,51088,2027,9795,46
2006,Saratoga,55263,2377,70130,3233,9286,47
2006,Schenectady,46215,1797,61722,2742,10170,48
2006,Schoharie,38392,1278,51935,2058,10047,49
2006,Schuyler,35011,1054,47862,1816,10224,50
2006,Seneca,36375,1118,50189,1966,10611,51
2006,Steuben,43615,1622,62016,2739,10294,52
2006,Suffolk,72071,3282,93849,4567,11289,53
2006,Sullivan,42455,1424,58681,2391,11243,54
2006,Tioga,40627,1324,54717,2137,11860,55
2006,Tompkins,50529,2093,65129,2961,10005,56
2006,Ulster,48191,1891,63991,2801,9912,57
2006,Warren,44594,1723,60208,2624,9549,58
2006,Washington,36251,1082,49403,1833,10513,59
