Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County,Population Hispanic
2004,0,Total,0,Total,5,Hispanic,37,Niagara,3205
2004,0,Total,0,Total,5,Hispanic,38,Oneida,8448
2004,0,Total,0,Total,5,Hispanic,39,Onondaga,12375
2004,0,Total,0,Total,5,Hispanic,40,Ontario,2443
2004,0,Total,0,Total,5,Hispanic,41,Orange,53468
2004,0,Total,0,Total,5,Hispanic,42,Orleans,1794
2004,0,Total,0,Total,5,Hispanic,43,Oswego,1707
2004,0,Total,0,Total,5,Hispanic,44,Otsego,1302
2004,0,Total,0,Total,5,Hispanic,45,Putnam,8594
2004,0,Total,0,Total,5,Hispanic,46,Rensselaer,3858
2004,0,Total,0,Total,5,Hispanic,47,Rockland,34679
2004,0,Total,0,Total,5,Hispanic,48,St Lawrence,2040
2004,0,Total,0,Total,5,Hispanic,49,Saratoga,3746
2004,0,Total,0,Total,5,Hispanic,50,Schenectady,5502
2004,0,Total,0,Total,5,Hispanic,51,Schoharie,648
2004,0,Total,0,Total,5,Hispanic,52,Schuyler,264
2004,0,Total,0,Total,5,Hispanic,53,Seneca,1002
2004,0,Total,0,Total,5,Hispanic,54,Steuben,965
2004,0,Total,0,Total,5,Hispanic,55,Suffolk,181429
2004,0,Total,0,Total,5,Hispanic,56,Sullivan,8022
2004,0,Total,0,Total,5,Hispanic,57,Tioga,681
2004,0,Total,0,Total,5,Hispanic,58,Tompkins,3284
2004,0,Total,0,Total,5,Hispanic,59,Ulster,12083
2004,0,Total,0,Total,5,Hispanic,60,Warren,920
2004,0,Total,0,Total,5,Hispanic,61,Washington,1448
2004,0,Total,0,Total,5,Hispanic,62,Wayne,2648
2004,0,Total,0,Total,5,Hispanic,63,Westchester,165929
2004,0,Total,0,Total,5,Hispanic,64,Wyoming,1317
2004,0,Total,0,Total,5,Hispanic,65,Yates,310
2005,0,Total,0,Total,5,Hispanic,1,New York State,3101626
2005,0,Total,0,Total,5,Hispanic,2,New York City,2254999
2005,0,Total,0,Total,5,Hispanic,3,Bronx,695902
2005,0,Total,0,Total,5,Hispanic,4,Kings,493725
2005,0,Total,0,Total,5,Hispanic,5,New York,411942
2005,0,Total,0,Total,5,Hispanic,6,Queens,585808
2005,0,Total,0,Total,5,Hispanic,7,Richmond,67622
2005,0,Total,0,Total,5,Hispanic,8,Rest of State,846627
2005,0,Total,0,Total,5,Hispanic,9,Albany,10533
2005,0,Total,0,Total,5,Hispanic,10,Allegany,577
2005,0,Total,0,Total,5,Hispanic,11,Broome,4648
2005,0,Total,0,Total,5,Hispanic,12,Cattaraugus,953
2005,0,Total,0,Total,5,Hispanic,13,Cayuga,1777
2005,0,Total,0,Total,5,Hispanic,14,Chautauqua,6256
2005,0,Total,0,Total,5,Hispanic,15,Chemung,1841
2005,0,Total,0,Total,5,Hispanic,16,Chenango,832
2005,0,Total,0,Total,5,Hispanic,17,Clinton,2267
2005,0,Total,0,Total,5,Hispanic,18,Columbia,1961
2005,0,Total,0,Total,5,Hispanic,19,Cortland,823
2005,0,Total,0,Total,5,Hispanic,20,Delaware,1270
2005,0,Total,0,Total,5,Hispanic,21,Dutchess,23859
2005,0,Total,0,Total,5,Hispanic,22,Erie,33047
2005,0,Total,0,Total,5,Hispanic,23,Essex,910
2005,0,Total,0,Total,5,Hispanic,24,Franklin,2055
2005,0,Total,0,Total,5,Hispanic,25,Fulton,1064
2005,0,Total,0,Total,5,Hispanic,26,Genesee,1151
2005,0,Total,0,Total,5,Hispanic,27,Greene,2393
2005,0,Total,0,Total,5,Hispanic,28,Hamilton,71
2005,0,Total,0,Total,5,Hispanic,29,Herkimer,891
2005,0,Total,0,Total,5,Hispanic,30,Jefferson,4885
2005,0,Total,0,Total,5,Hispanic,31,Lewis,211
2005,0,Total,0,Total,5,Hispanic,32,Livingston,1505
2005,0,Total,0,Total,5,Hispanic,33,Madison,886
2005,0,Total,0,Total,5,Hispanic,34,Monroe,41504
2005,0,Total,0,Total,5,Hispanic,35,Montgomery,3963
2005,0,Total,0,Total,5,Hispanic,36,Nassau,155582
2005,0,Total,0,Total,5,Hispanic,37,Niagara,3131
2005,0,Total,0,Total,5,Hispanic,38,Oneida,8519
2005,0,Total,0,Total,5,Hispanic,39,Onondaga,12376
2005,0,Total,0,Total,5,Hispanic,40,Ontario,2516
2005,0,Total,0,Total,5,Hispanic,41,Orange,55726
2005,0,Total,0,Total,5,Hispanic,42,Orleans,1671
2005,0,Total,0,Total,5,Hispanic,43,Oswego,1706
2005,0,Total,0,Total,5,Hispanic,44,Otsego,1331
2005,0,Total,0,Total,5,Hispanic,45,Putnam,9262
2005,0,Total,0,Total,5,Hispanic,46,Rensselaer,3954
2005,0,Total,0,Total,5,Hispanic,47,Rockland,35784
2005,0,Total,0,Total,5,Hispanic,48,St Lawrence,2115
2005,0,Total,0,Total,5,Hispanic,49,Saratoga,3914
2005,0,Total,0,Total,5,Hispanic,50,Schenectady,5817
2005,0,Total,0,Total,5,Hispanic,51,Schoharie,655
2005,0,Total,0,Total,5,Hispanic,52,Schuyler,264
2005,0,Total,0,Total,5,Hispanic,53,Seneca,982
2005,0,Total,0,Total,5,Hispanic,54,Steuben,1041
2005,0,Total,0,Total,5,Hispanic,55,Suffolk,186335
2005,0,Total,0,Total,5,Hispanic,56,Sullivan,8404
2005,0,Total,0,Total,5,Hispanic,57,Tioga,682
2005,0,Total,0,Total,5,Hispanic,58,Tompkins,3534
2005,0,Total,0,Total,5,Hispanic,59,Ulster,12564
2005,0,Total,0,Total,5,Hispanic,60,Warren,991
2005,0,Total,0,Total,5,Hispanic,61,Washington,1558
2005,0,Total,0,Total,5,Hispanic,62,Wayne,2767
2005,0,Total,0,Total,5,Hispanic,63,Westchester,169687
2005,0,Total,0,Total,5,Hispanic,64,Wyoming,1323
2005,0,Total,0,Total,5,Hispanic,65,Yates,303
2006,0,Total,0,Total,5,Hispanic,1,New York State,3139456
2006,0,Total,0,Total,5,Hispanic,2,New York City,2267827
2006,0,Total,0,Total,5,Hispanic,3,Bronx,693884
2006,0,Total,0,Total,5,Hispanic,4,Kings,496304
2006,0,Total,0,Total,5,Hispanic,5,New York,408712
2006,0,Total,0,Total,5,Hispanic,6,Queens,597773
2006,0,Total,0,Total,5,Hispanic,7,Richmond,71154
2006,0,Total,0,Total,5,Hispanic,8,Rest of State,871628
2006,0,Total,0,Total,5,Hispanic,9,Albany,10962
2006,0,Total,0,Total,5,Hispanic,10,Allegany,559
2006,0,Total,0,Total,5,Hispanic,11,Broome,4672
2006,0,Total,0,Total,5,Hispanic,12,Cattaraugus,929
2006,0,Total,0,Total,5,Hispanic,13,Cayuga,1682
2006,0,Total,0,Total,5,Hispanic,14,Chautauqua,6303
2006,0,Total,0,Total,5,Hispanic,15,Chemung,1761
