Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County,Population White Non Hispanic
2004,0,Total,0,Total,1,White Non Hispanic,27,Greene,43559
2004,0,Total,0,Total,1,White Non Hispanic,28,Hamilton,5076
2004,0,Total,0,Total,1,White Non Hispanic,29,Herkimer,62093
2004,0,Total,0,Total,1,White Non Hispanic,30,Jefferson,99483
2004,0,Total,0,Total,1,White Non Hispanic,31,Lewis,26062
2004,0,Total,0,Total,1,White Non Hispanic,32,Livingston,60509
2004,0,Total,0,Total,1,White Non Hispanic,33,Madison,67596
2004,0,Total,0,Total,1,White Non Hispanic,34,Monroe,564971
2004,0,Total,0,Total,1,White Non Hispanic,35,Montgomery,44162
2004,0,Total,0,Total,1,White Non Hispanic,36,Nassau,953433
2004,0,Total,0,Total,1,White Non Hispanic,37,Niagara,196444
2004,0,Total,0,Total,1,White Non Hispanic,38,Oneida,208499
2004,0,Total,0,Total,1,White Non Hispanic,39,Onondaga,384504
2004,0,Total,0,Total,1,White Non Hispanic,40,Ontario,97557
2004,0,Total,0,Total,1,White Non Hispanic,41,Orange,274283
2004,0,Total,0,Total,1,White Non Hispanic,42,Orleans,38792
2004,0,Total,0,Total,1,White Non Hispanic,43,Oswego,119900
2004,0,Total,0,Total,1,White Non Hispanic,44,Otsego,59380
2004,0,Total,0,Total,1,White Non Hispanic,45,Putnam,87827
2004,0,Total,0,Total,1,White Non Hispanic,46,Rensselaer,138350
2004,0,Total,0,Total,1,White Non Hispanic,47,Rockland,205436
2004,0,Total,0,Total,1,White Non Hispanic,48,St Lawrence,104881
2004,0,Total,0,Total,1,White Non Hispanic,49,Saratoga,201872
2004,0,Total,0,Total,1,White Non Hispanic,50,Schenectady,125373
2004,0,Total,0,Total,1,White Non Hispanic,51,Schoharie,30693
2004,0,Total,0,Total,1,White Non Hispanic,52,Schuyler,18788
2004,0,Total,0,Total,1,White Non Hispanic,53,Seneca,32091
2004,0,Total,0,Total,1,White Non Hispanic,54,Steuben,95039
2004,0,Total,0,Total,1,White Non Hispanic,55,Suffolk,1132543
2004,0,Total,0,Total,1,White Non Hispanic,56,Sullivan,60194
2004,0,Total,0,Total,1,White Non Hispanic,57,Tioga,49995
2004,0,Total,0,Total,1,White Non Hispanic,58,Tompkins,83312
2004,0,Total,0,Total,1,White Non Hispanic,59,Ulster,155542
2004,0,Total,0,Total,1,White Non Hispanic,60,Warren,63125
2004,0,Total,0,Total,1,White Non Hispanic,61,Washington,59094
2004,0,Total,0,Total,1,White Non Hispanic,62,Wayne,87240
2004,0,Total,0,Total,1,White Non Hispanic,63,Westchester,589671
2004,0,Total,0,Total,1,White Non Hispanic,64,Wyoming,39019
2004,0,Total,0,Total,1,White Non Hispanic,65,Yates,24101
2005,0,Total,0,Total,1,White Non Hispanic,1,New York State,11807196
2005,0,Total,0,Total,1,White Non Hispanic,2,New York City,2882548
2005,0,Total,0,Total,1,White Non Hispanic,3,Bronx,180389
2005,0,Total,0,Total,1,White Non Hispanic,4,Kings,895180
2005,0,Total,0,Total,1,White Non Hispanic,5,New York,769032
2005,0,Total,0,Total,1,White Non Hispanic,6,Queens,720327
2005,0,Total,0,Total,1,White Non Hispanic,7,Richmond,317620
2005,0,Total,0,Total,1,White Non Hispanic,8,Rest of State,8924648
2005,0,Total,0,Total,1,White Non Hispanic,9,Albany,238975
2005,0,Total,0,Total,1,White Non Hispanic,10,Allegany,48838
2005,0,Total,0,Total,1,White Non Hispanic,11,Broome,176750
2005,0,Total,0,Total,1,White Non Hispanic,12,Cattaraugus,77791
2005,0,Total,0,Total,1,White Non Hispanic,13,Cayuga,75824
2005,0,Total,0,Total,1,White Non Hispanic,14,Chautauqua,125713
2005,0,Total,0,Total,1,White Non Hispanic,15,Chemung,80911
2005,0,Total,0,Total,1,White Non Hispanic,16,Chenango,50113
2005,0,Total,0,Total,1,White Non Hispanic,17,Clinton,76013
2005,0,Total,0,Total,1,White Non Hispanic,18,Columbia,57635
2005,0,Total,0,Total,1,White Non Hispanic,19,Cortland,46707
2005,0,Total,0,Total,1,White Non Hispanic,20,Delaware,45029
2005,0,Total,0,Total,1,White Non Hispanic,21,Dutchess,231851
2005,0,Total,0,Total,1,White Non Hispanic,22,Erie,748846
2005,0,Total,0,Total,1,White Non Hispanic,23,Essex,36235
2005,0,Total,0,Total,1,White Non Hispanic,24,Franklin,42538
2005,0,Total,0,Total,1,White Non Hispanic,25,Fulton,52919
2005,0,Total,0,Total,1,White Non Hispanic,26,Genesee,55825
2005,0,Total,0,Total,1,White Non Hispanic,27,Greene,43942
2005,0,Total,0,Total,1,White Non Hispanic,28,Hamilton,5081
2005,0,Total,0,Total,1,White Non Hispanic,29,Herkimer,61783
2005,0,Total,0,Total,1,White Non Hispanic,30,Jefferson,102806
2005,0,Total,0,Total,1,White Non Hispanic,31,Lewis,25975
2005,0,Total,0,Total,1,White Non Hispanic,32,Livingston,59991
2005,0,Total,0,Total,1,White Non Hispanic,33,Madison,67386
2005,0,Total,0,Total,1,White Non Hispanic,34,Monroe,562978
2005,0,Total,0,Total,1,White Non Hispanic,35,Montgomery,43795
2005,0,Total,0,Total,1,White Non Hispanic,36,Nassau,939468
2005,0,Total,0,Total,1,White Non Hispanic,37,Niagara,195285
2005,0,Total,0,Total,1,White Non Hispanic,38,Oneida,207664
2005,0,Total,0,Total,1,White Non Hispanic,39,Onondaga,382417
2005,0,Total,0,Total,1,White Non Hispanic,40,Ontario,98454
2005,0,Total,0,Total,1,White Non Hispanic,41,Orange,272240
2005,0,Total,0,Total,1,White Non Hispanic,42,Orleans,38426
2005,0,Total,0,Total,1,White Non Hispanic,43,Oswego,119426
2005,0,Total,0,Total,1,White Non Hispanic,44,Otsego,59487
2005,0,Total,0,Total,1,White Non Hispanic,45,Putnam,86856
2005,0,Total,0,Total,1,White Non Hispanic,46,Rensselaer,138980
2005,0,Total,0,Total,1,White Non Hispanic,47,Rockland,203878
2005,0,Total,0,Total,1,White Non Hispanic,48,St Lawrence,104642
2005,0,Total,0,Total,1,White Non Hispanic,49,Saratoga,203538
2005,0,Total,0,Total,1,White Non Hispanic,50,Schenectady,124940
2005,0,Total,0,Total,1,White Non Hispanic,51,Schoharie,30921
2005,0,Total,0,Total,1,White Non Hispanic,52,Schuyler,18600
2005,0,Total,0,Total,1,White Non Hispanic,53,Seneca,31864
2005,0,Total,0,Total,1,White Non Hispanic,54,Steuben,94699
2005,0,Total,0,Total,1,White Non Hispanic,55,Suffolk,1126262
2005,0,Total,0,Total,1,White Non Hispanic,56,Sullivan,60083
2005,0,Total,0,Total,1,White Non Hispanic,57,Tioga,49876
2005,0,Total,0,Total,1,White Non Hispanic,58,Tompkins,82324
2005,0,Total,0,Total,1,White Non Hispanic,59,Ulster,155886
2005,0,Total,0,Total,1,White Non Hispanic,60,Warren,63452
2005,0,Total,0,Total,1,White Non Hispanic,61,Washington,59183
2005,0,Total,0,Total,1,White Non Hispanic,62,Wayne,86904
2005,0,Total,0,Total,1,White Non Hispanic,63,Westchester,583666
2005,0,Total,0,Total,1,White Non Hispanic,64,Wyoming,38772
2005,0,Total,0,Total,1,White Non Hispanic,65,Yates,24205
2006,0,Total,0,Total,1,White Non Hispanic,1,New York State,11768800
2006,0,Total,0,Total,1,White Non Hispanic,2,New York City,2912166
2006,0,Total,0,Total,1,White Non Hispanic,3,Bronx,180470
2006,0,Total,0,Total,1,White Non Hispanic,4,Kings,911934
2006,0,Total,0,Total,1,White Non Hispanic,5,New York,781803
2006,0,Total,0,Total,1,White Non Hispanic,6,Queens,715008
2006,0,Total,0,Total,1,White Non Hispanic,7,Richmond,322951
2006,0,Total,0,Total,1,White Non Hispanic,8,Rest of State,8856634
2006,0,Total,0,Total,1,White Non Hispanic,9,Albany,237691
2006,0,Total,0,Total,1,White Non Hispanic,10,Allegany,48452
2006,0,Total,0,Total,1,White Non Hispanic,11,Broome,175660
2006,0,Total,0,Total,1,White Non Hispanic,12,Cattaraugus,76477
2006,0,Total,0,Total,1,White Non Hispanic,13,Cayuga,75414
2006,0,Total,0,Total,1,White Non Hispanic,14,Chautauqua,124193
2006,0,Total,0,Total,1,White Non Hispanic,15,Chemung,79723
2006,0,Total,0,Total,1,White Non Hispanic,16,Chenango,50082
2006,0,Total,0,Total,1,White Non Hispanic,17,Clinton,76064
