Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County,Population Female
2004,0,Total,2,Female,0,Total,47,Rockland,149211
2004,0,Total,2,Female,0,Total,48,St Lawrence,54902
2004,0,Total,2,Female,0,Total,49,Saratoga,107815
2004,0,Total,2,Female,0,Total,50,Schenectady,76383
2004,0,Total,2,Female,0,Total,51,Schoharie,16107
2004,0,Total,2,Female,0,Total,52,Schuyler,9699
2004,0,Total,2,Female,0,Total,53,Seneca,16913
2004,0,Total,2,Female,0,Total,54,Steuben,50380
2004,0,Total,2,Female,0,Total,55,Suffolk,749401
2004,0,Total,2,Female,0,Total,56,Sullivan,37435
2004,0,Total,2,Female,0,Total,57,Tioga,26037
2004,0,Total,2,Female,0,Total,58,Tompkins,50132
2004,0,Total,2,Female,0,Total,59,Ulster,91251
2004,0,Total,2,Female,0,Total,60,Warren,33487
2004,0,Total,2,Female,0,Total,61,Washington,30462
2004,0,Total,2,Female,0,Total,62,Wayne,47442
2004,0,Total,2,Female,0,Total,63,Westchester,488991
2004,0,Total,2,Female,0,Total,64,Wyoming,19637
2004,0,Total,2,Female,0,Total,65,Yates,12632
2005,0,Total,2,Female,0,Total,1,New York State,9927578
2005,0,Total,2,Female,0,Total,2,New York City,4266752
2005,0,Total,2,Female,0,Total,3,Bronx,721457
2005,0,Total,2,Female,0,Total,4,Kings,1315420
2005,0,Total,2,Female,0,Total,5,New York,836140
2005,0,Total,2,Female,0,Total,6,Queens,1154760
2005,0,Total,2,Female,0,Total,7,Richmond,238975
2005,0,Total,2,Female,0,Total,8,Rest of State,5660826
2005,0,Total,2,Female,0,Total,9,Albany,154244
2005,0,Total,2,Female,0,Total,10,Allegany,25171
2005,0,Total,2,Female,0,Total,11,Broome,101551
2005,0,Total,2,Female,0,Total,12,Cattaraugus,41958
2005,0,Total,2,Female,0,Total,13,Cayuga,40199
2005,0,Total,2,Female,0,Total,14,Chautauqua,69460
2005,0,Total,2,Female,0,Total,15,Chemung,45172
2005,0,Total,2,Female,0,Total,16,Chenango,26260
2005,0,Total,2,Female,0,Total,17,Clinton,40232
2005,0,Total,2,Female,0,Total,18,Columbia,31975
2005,0,Total,2,Female,0,Total,19,Cortland,25246
2005,0,Total,2,Female,0,Total,20,Delaware,24041
2005,0,Total,2,Female,0,Total,21,Dutchess,147167
2005,0,Total,2,Female,0,Total,22,Erie,483463
2005,0,Total,2,Female,0,Total,23,Essex,18580
2005,0,Total,2,Female,0,Total,24,Franklin,23004
2005,0,Total,2,Female,0,Total,25,Fulton,28235
2005,0,Total,2,Female,0,Total,26,Genesee,29902
2005,0,Total,2,Female,0,Total,27,Greene,24069
2005,0,Total,2,Female,0,Total,28,Hamilton,2652
2005,0,Total,2,Female,0,Total,29,Herkimer,32791
2005,0,Total,2,Female,0,Total,30,Jefferson,56269
2005,0,Total,2,Female,0,Total,31,Lewis,13323
2005,0,Total,2,Female,0,Total,32,Livingston,32246
2005,0,Total,2,Female,0,Total,33,Madison,35710
2005,0,Total,2,Female,0,Total,34,Monroe,377592
2005,0,Total,2,Female,0,Total,35,Montgomery,25407
2005,0,Total,2,Female,0,Total,36,Nassau,687016
2005,0,Total,2,Female,0,Total,37,Niagara,112076
2005,0,Total,2,Female,0,Total,38,Oneida,117187
2005,0,Total,2,Female,0,Total,39,Onondaga,237760
2005,0,Total,2,Female,0,Total,40,Ontario,53274
2005,0,Total,2,Female,0,Total,41,Orange,185152
2005,0,Total,2,Female,0,Total,42,Orleans,21915
2005,0,Total,2,Female,0,Total,43,Oswego,62243
2005,0,Total,2,Female,0,Total,44,Otsego,32593
2005,0,Total,2,Female,0,Total,45,Putnam,50086
2005,0,Total,2,Female,0,Total,46,Rensselaer,78511
2005,0,Total,2,Female,0,Total,47,Rockland,148924
2005,0,Total,2,Female,0,Total,48,St Lawrence,54864
2005,0,Total,2,Female,0,Total,49,Saratoga,108752
2005,0,Total,2,Female,0,Total,50,Schenectady,76948
2005,0,Total,2,Female,0,Total,51,Schoharie,16259
2005,0,Total,2,Female,0,Total,52,Schuyler,9652
2005,0,Total,2,Female,0,Total,53,Seneca,16738
2005,0,Total,2,Female,0,Total,54,Steuben,50303
2005,0,Total,2,Female,0,Total,55,Suffolk,747432
2005,0,Total,2,Female,0,Total,56,Sullivan,37663
2005,0,Total,2,Female,0,Total,57,Tioga,25958
2005,0,Total,2,Female,0,Total,58,Tompkins,50151
2005,0,Total,2,Female,0,Total,59,Ulster,91626
2005,0,Total,2,Female,0,Total,60,Warren,33597
2005,0,Total,2,Female,0,Total,61,Washington,30496
2005,0,Total,2,Female,0,Total,62,Wayne,47425
2005,0,Total,2,Female,0,Total,63,Westchester,488171
2005,0,Total,2,Female,0,Total,64,Wyoming,19441
2005,0,Total,2,Female,0,Total,65,Yates,12694
2006,0,Total,2,Female,0,Total,1,New York State,9951163
2006,0,Total,2,Female,0,Total,2,New York City,4299426
2006,0,Total,2,Female,0,Total,3,Bronx,724145
2006,0,Total,2,Female,0,Total,4,Kings,1325336
2006,0,Total,2,Female,0,Total,5,New York,843855
2006,0,Total,2,Female,0,Total,6,Queens,1160584
2006,0,Total,2,Female,0,Total,7,Richmond,245506
2006,0,Total,2,Female,0,Total,8,Rest of State,5651737
2006,0,Total,2,Female,0,Total,9,Albany,154655
2006,0,Total,2,Female,0,Total,10,Allegany,25016
2006,0,Total,2,Female,0,Total,11,Broome,101307
2006,0,Total,2,Female,0,Total,12,Cattaraugus,41478
2006,0,Total,2,Female,0,Total,13,Cayuga,40196
2006,0,Total,2,Female,0,Total,14,Chautauqua,68911
2006,0,Total,2,Female,0,Total,15,Chemung,44755
2006,0,Total,2,Female,0,Total,16,Chenango,26231
2006,0,Total,2,Female,0,Total,17,Clinton,40286
2006,0,Total,2,Female,0,Total,18,Columbia,31584
2006,0,Total,2,Female,0,Total,19,Cortland,25119
2006,0,Total,2,Female,0,Total,20,Delaware,23867
2006,0,Total,2,Female,0,Total,21,Dutchess,147317
2006,0,Total,2,Female,0,Total,22,Erie,478247
2006,0,Total,2,Female,0,Total,23,Essex,18594
2006,0,Total,2,Female,0,Total,24,Franklin,23017
2006,0,Total,2,Female,0,Total,25,Fulton,28085
2006,0,Total,2,Female,0,Total,26,Genesee,29716
2006,0,Total,2,Female,0,Total,27,Greene,24023
2006,0,Total,2,Female,0,Total,28,Hamilton,2581
2006,0,Total,2,Female,0,Total,29,Herkimer,32569
2006,0,Total,2,Female,0,Total,30,Jefferson,56078
2006,0,Total,2,Female,0,Total,31,Lewis,13377
2006,0,Total,2,Female,0,Total,32,Livingston,32124
2006,0,Total,2,Female,0,Total,33,Madison,35796
2006,0,Total,2,Female,0,Total,34,Monroe,376507
2006,0,Total,2,Female,0,Total,35,Montgomery,25437
2006,0,Total,2,Female,0,Total,36,Nassau,682346
2006,0,Total,2,Female,0,Total,37,Niagara,111612
2006,0,Total,2,Female,0,Total,38,Oneida,117370
2006,0,Total,2,Female,0,Total,39,Onondaga,237178
2006,0,Total,2,Female,0,Total,40,Ontario,53185
2006,0,Total,2,Female,0,Total,41,Orange,187243
2006,0,Total,2,Female,0,Total,42,Orleans,21766
2006,0,Total,2,Female,0,Total,43,Oswego,62215
2006,0,Total,2,Female,0,Total,44,Otsego,32532
2006,0,Total,2,Female,0,Total,45,Putnam,50077
2006,0,Total,2,Female,0,Total,46,Rensselaer,78823
2006,0,Total,2,Female,0,Total,47,Rockland,149929
2006,0,Total,2,Female,0,Total,48,St Lawrence,54982
2006,0,Total,2,Female,0,Total,49,Saratoga,109044
2006,0,Total,2,Female,0,Total,50,Schenectady,77464
2006,0,Total,2,Female,0,Total,51,Schoharie,16239
2006,0,Total,2,Female,0,Total,52,Schuyler,9697
2006,0,Total,2,Female,0,Total,53,Seneca,16714
2006,0,Total,2,Female,0,Total,54,Steuben,50130
2006,0,Total,2,Female,0,Total,55,Suffolk,745257
2006,0,Total,2,Female,0,Total,56,Sullivan,37701
2006,0,Total,2,Female,0,Total,57,Tioga,25899
2006,0,Total,2,Female,0,Total,58,Tompkins,50287
2006,0,Total,2,Female,0,Total,59,Ulster,91744
2006,0,Total,2,Female,0,Total,60,Warren,33862
2006,0,Total,2,Female,0,Total,61,Washington,30747
2006,0,Total,2,Female,0,Total,62,Wayne,46966
2006,0,Total,2,Female,0,Total,63,Westchester,491722
2006,0,Total,2,Female,0,Total,64,Wyoming,19419
2006,0,Total,2,Female,0,Total,65,Yates,12714
2007,0,Total,2,Female,0,Total,1,New York State,9936993
2007,0,Total,2,Female,0,Total,2,New York City,4325484
2007,0,Total,2,Female,0,Total,3,Bronx,730598
2007,0,Total,2,Female,0,Total,4,Kings,1334217
2007,0,Total,2,Female,0,Total,5,New York,846052
2007,0,Total,2,Female,0,Total,6,Queens,1167363
2007,0,Total,2,Female,0,Total,7,Richmond,247254
2007,0,Total,2,Female,0,Total,8,Rest of State,5611509
2007,0,Total,2,Female,0,Total,9,Albany,155208
2007,0,Total,2,Female,0,Total,10,Allegany,24700
2007,0,Total,2,Female,0,Total,11,Broome,100988
2007,0,Total,2,Female,0,Total,12,Cattaraugus,40742
2007,0,Total,2,Female,0,Total,13,Cayuga,39547
2007,0,Total,2,Female,0,Total,14,Chautauqua,68188
2007,0,Total,2,Female,0,Total,15,Chemung,44326
2007,0,Total,2,Female,0,Total,16,Chenango,25914
2007,0,Total,2,Female,0,Total,17,Clinton,40201
2007,0,Total,2,Female,0,Total,18,Columbia,31257
2007,0,Total,2,Female,0,Total,19,Cortland,25049
2007,0,Total,2,Female,0,Total,20,Delaware,23476
2007,0,Total,2,Female,0,Total,21,Dutchess,145909
2007,0,Total,2,Female,0,Total,22,Erie,473494
2007,0,Total,2,Female,0,Total,23,Essex,18314
2007,0,Total,2,Female,0,Total,24,Franklin,22765
2007,0,Total,2,Female,0,Total,25,Fulton,27942
2007,0,Total,2,Female,0,Total,26,Genesee,29309
2007,0,Total,2,Female,0,Total,27,Greene,23796
2007,0,Total,2,Female,0,Total,28,Hamilton,2555
2007,0,Total,2,Female,0,Total,29,Herkimer,32070
2007,0,Total,2,Female,0,Total,30,Jefferson,57512
2007,0,Total,2,Female,0,Total,31,Lewis,13238
2007,0,Total,2,Female,0,Total,32,Livingston,31573
2007,0,Total,2,Female,0,Total,33,Madison,35521
2007,0,Total,2,Female,0,Total,34,Monroe,375770
2007,0,Total,2,Female,0,Total,35,Montgomery,25242
2007,0,Total,2,Female,0,Total,36,Nassau,672011
2007,0,Total,2,Female,0,Total,37,Niagara,110775
2007,0,Total,2,Female,0,Total,38,Oneida,116390
