Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County,Population Other Non Hispanic
2004,0,Total,0,Total,3,Other Non Hispanic,26,Genesee,750
2004,0,Total,0,Total,3,Other Non Hispanic,27,Greene,479
2004,0,Total,0,Total,3,Other Non Hispanic,28,Hamilton,23
2004,0,Total,0,Total,3,Other Non Hispanic,29,Herkimer,525
2004,0,Total,0,Total,3,Other Non Hispanic,30,Jefferson,1867
2004,0,Total,0,Total,3,Other Non Hispanic,31,Lewis,138
2004,0,Total,0,Total,3,Other Non Hispanic,32,Livingston,858
2004,0,Total,0,Total,3,Other Non Hispanic,33,Madison,894
2004,0,Total,0,Total,3,Other Non Hispanic,34,Monroe,23203
2004,0,Total,0,Total,3,Other Non Hispanic,35,Montgomery,518
2004,0,Total,0,Total,3,Other Non Hispanic,36,Nassau,88324
2004,0,Total,0,Total,3,Other Non Hispanic,37,Niagara,3971
2004,0,Total,0,Total,3,Other Non Hispanic,38,Oneida,4041
2004,0,Total,0,Total,3,Other Non Hispanic,39,Onondaga,15934
2004,0,Total,0,Total,3,Other Non Hispanic,40,Ontario,1254
2004,0,Total,0,Total,3,Other Non Hispanic,41,Orange,8851
2004,0,Total,0,Total,3,Other Non Hispanic,42,Orleans,376
2004,0,Total,0,Total,3,Other Non Hispanic,43,Oswego,1239
2004,0,Total,0,Total,3,Other Non Hispanic,44,Otsego,630
2004,0,Total,0,Total,3,Other Non Hispanic,45,Putnam,1983
2004,0,Total,0,Total,3,Other Non Hispanic,46,Rensselaer,3546
2004,0,Total,0,Total,3,Other Non Hispanic,47,Rockland,19717
2004,0,Total,0,Total,3,Other Non Hispanic,48,St Lawrence,1909
2004,0,Total,0,Total,3,Other Non Hispanic,49,Saratoga,3760
2004,0,Total,0,Total,3,Other Non Hispanic,50,Schenectady,5092
2004,0,Total,0,Total,3,Other Non Hispanic,51,Schoharie,247
2004,0,Total,0,Total,3,Other Non Hispanic,52,Schuyler,146
2004,0,Total,0,Total,3,Other Non Hispanic,53,Seneca,360
2004,0,Total,0,Total,3,Other Non Hispanic,54,Steuben,1338
2004,0,Total,0,Total,3,Other Non Hispanic,55,Suffolk,52282
2004,0,Total,0,Total,3,Other Non Hispanic,56,Sullivan,1214
2004,0,Total,0,Total,3,Other Non Hispanic,57,Tioga,452
2004,0,Total,0,Total,3,Other Non Hispanic,58,Tompkins,9674
2004,0,Total,0,Total,3,Other Non Hispanic,59,Ulster,3213
2004,0,Total,0,Total,3,Other Non Hispanic,60,Warren,618
2004,0,Total,0,Total,3,Other Non Hispanic,61,Washington,378
2004,0,Total,0,Total,3,Other Non Hispanic,62,Wayne,862
2004,0,Total,0,Total,3,Other Non Hispanic,63,Westchester,53208
2004,0,Total,0,Total,3,Other Non Hispanic,64,Wyoming,293
2004,0,Total,0,Total,3,Other Non Hispanic,65,Yates,92
2005,0,Total,0,Total,3,Other Non Hispanic,1,New York State,1380661
2005,0,Total,0,Total,3,Other Non Hispanic,2,New York City,988867
2005,0,Total,0,Total,3,Other Non Hispanic,3,Bronx,50788
2005,0,Total,0,Total,3,Other Non Hispanic,4,Kings,232039
2005,0,Total,0,Total,3,Other Non Hispanic,5,New York,177573
2005,0,Total,0,Total,3,Other Non Hispanic,6,Queens,493454
2005,0,Total,0,Total,3,Other Non Hispanic,7,Richmond,35013
2005,0,Total,0,Total,3,Other Non Hispanic,8,Rest of State,391794
2005,0,Total,0,Total,3,Other Non Hispanic,9,Albany,12422
2005,0,Total,0,Total,3,Other Non Hispanic,10,Allegany,628
2005,0,Total,0,Total,3,Other Non Hispanic,11,Broome,7292
2005,0,Total,0,Total,3,Other Non Hispanic,12,Cattaraugus,2618
2005,0,Total,0,Total,3,Other Non Hispanic,13,Cayuga,577
2005,0,Total,0,Total,3,Other Non Hispanic,14,Chautauqua,1256
2005,0,Total,0,Total,3,Other Non Hispanic,15,Chemung,1175
2005,0,Total,0,Total,3,Other Non Hispanic,16,Chenango,297
2005,0,Total,0,Total,3,Other Non Hispanic,17,Clinton,919
2005,0,Total,0,Total,3,Other Non Hispanic,18,Columbia,991
2005,0,Total,0,Total,3,Other Non Hispanic,19,Cortland,394
2005,0,Total,0,Total,3,Other Non Hispanic,20,Delaware,413
2005,0,Total,0,Total,3,Other Non Hispanic,21,Dutchess,10420
2005,0,Total,0,Total,3,Other Non Hispanic,22,Erie,23407
2005,0,Total,0,Total,3,Other Non Hispanic,23,Essex,363
2005,0,Total,0,Total,3,Other Non Hispanic,24,Franklin,3174
2005,0,Total,0,Total,3,Other Non Hispanic,25,Fulton,525
2005,0,Total,0,Total,3,Other Non Hispanic,26,Genesee,737
2005,0,Total,0,Total,3,Other Non Hispanic,27,Greene,485
2005,0,Total,0,Total,3,Other Non Hispanic,28,Hamilton,19
2005,0,Total,0,Total,3,Other Non Hispanic,29,Herkimer,524
2005,0,Total,0,Total,3,Other Non Hispanic,30,Jefferson,2100
2005,0,Total,0,Total,3,Other Non Hispanic,31,Lewis,143
2005,0,Total,0,Total,3,Other Non Hispanic,32,Livingston,815
2005,0,Total,0,Total,3,Other Non Hispanic,33,Madison,899
2005,0,Total,0,Total,3,Other Non Hispanic,34,Monroe,23435
2005,0,Total,0,Total,3,Other Non Hispanic,35,Montgomery,506
2005,0,Total,0,Total,3,Other Non Hispanic,36,Nassau,92245
2005,0,Total,0,Total,3,Other Non Hispanic,37,Niagara,4092
2005,0,Total,0,Total,3,Other Non Hispanic,38,Oneida,4041
2005,0,Total,0,Total,3,Other Non Hispanic,39,Onondaga,16180
2005,0,Total,0,Total,3,Other Non Hispanic,40,Ontario,1230
2005,0,Total,0,Total,3,Other Non Hispanic,41,Orange,9559
2005,0,Total,0,Total,3,Other Non Hispanic,42,Orleans,333
2005,0,Total,0,Total,3,Other Non Hispanic,43,Oswego,1235
2005,0,Total,0,Total,3,Other Non Hispanic,44,Otsego,705
2005,0,Total,0,Total,3,Other Non Hispanic,45,Putnam,2137
2005,0,Total,0,Total,3,Other Non Hispanic,46,Rensselaer,3802
2005,0,Total,0,Total,3,Other Non Hispanic,47,Rockland,19776
2005,0,Total,0,Total,3,Other Non Hispanic,48,St Lawrence,1995
2005,0,Total,0,Total,3,Other Non Hispanic,49,Saratoga,3965
2005,0,Total,0,Total,3,Other Non Hispanic,50,Schenectady,5599
2005,0,Total,0,Total,3,Other Non Hispanic,51,Schoharie,261
2005,0,Total,0,Total,3,Other Non Hispanic,52,Schuyler,153
2005,0,Total,0,Total,3,Other Non Hispanic,53,Seneca,382
2005,0,Total,0,Total,3,Other Non Hispanic,54,Steuben,1349
2005,0,Total,0,Total,3,Other Non Hispanic,55,Suffolk,53661
2005,0,Total,0,Total,3,Other Non Hispanic,56,Sullivan,1260
2005,0,Total,0,Total,3,Other Non Hispanic,57,Tioga,480
2005,0,Total,0,Total,3,Other Non Hispanic,58,Tompkins,10324
2005,0,Total,0,Total,3,Other Non Hispanic,59,Ulster,3424
2005,0,Total,0,Total,3,Other Non Hispanic,60,Warren,583
2005,0,Total,0,Total,3,Other Non Hispanic,61,Washington,339
2005,0,Total,0,Total,3,Other Non Hispanic,62,Wayne,826
2005,0,Total,0,Total,3,Other Non Hispanic,63,Westchester,54952
2005,0,Total,0,Total,3,Other Non Hispanic,64,Wyoming,293
2005,0,Total,0,Total,3,Other Non Hispanic,65,Yates,79
2006,0,Total,0,Total,3,Other Non Hispanic,1,New York State,1424586
2006,0,Total,0,Total,3,Other Non Hispanic,2,New York City,1013659
2006,0,Total,0,Total,3,Other Non Hispanic,3,Bronx,53497
2006,0,Total,0,Total,3,Other Non Hispanic,4,Kings,237831
2006,0,Total,0,Total,3,Other Non Hispanic,5,New York,184638
2006,0,Total,0,Total,3,Other Non Hispanic,6,Queens,500661
2006,0,Total,0,Total,3,Other Non Hispanic,7,Richmond,37032
2006,0,Total,0,Total,3,Other Non Hispanic,8,Rest of State,410927
