,Year,County,Average NY AGI,Crime Total,Violent Crime Total,Deaths,Crude Rate,Adjusted Rate,Suicide Deaths,Population,Percentage Deaths by Suicide,"Suicide Rate Per 100,000",Population Total,Population Black Non Hispanic,Population Hispanic,Population Other Non Hispanic,Population White Non Hispanic,Population Male,Population Female
581,2012,Onondaga,52655,13645,1752,4132,885.1,691,55,466852,0.013300,11.8,466852,53646,20138,20027,373041,225354,241498
582,2012,Dutchess,62554,5900,678,2327,782.7,649.8,15,297322,0.006400,5,297322,30111,32629,12253,222329,147955,149367
583,2012,Cortland,40702,1105,64,464,937.9,802.7,6,49474,0.012900,12.1,49474,1029,1217,676,46552,24169,25305
584,2012,Richmond,56784,7146,1664,3354,712.5,635.9,33,470728,0.009800,7,470728,46817,83181,38348,302382,227763,242965
585,2012,Schoharie,38561,494,19,243,757,577.8,5,32099,0.020600,15.6,32099,467,944,327,30361,16006,16093
586,2012,Lewis,38177,420,19,233,855.9,669.7,6,27224,0.025800,22,27224,273,396,154,26401,13773,13451
587,2012,Putnam,91134,875,41,677,679.7,621.2,12,99607,0.017700,12,99607,2484,12115,2376,82632,49555,50052
588,2012,Schuyler,40058,185,21,189,1021,720.4,0,18514,0.000000,0,18514,254,307,132,17821,9277,9237
589,2012,Chemung,44439,2434,222,947,1065,784.4,5,88911,0.005300,5.6,88911,6456,2491,1508,78456,44265,44646
590,2012,Hamilton,34774,81,1,57,1193,673.5,3,4778,0.052600,62.8,4778,56,55,39,4628,2406,2372
591,2012,Delaware,36329,763,63,556,1176,758.3,11,47276,0.019800,23.3,47276,906,1566,548,44256,23686,23590
592,2012,Jefferson,41045,2917,213,826,686.8,706.3,25,120262,0.030300,20.8,120262,7441,8049,2953,101819,62228,58034
593,2012,Oswego,40712,3328,206,1057,868.5,773.8,20,121700,0.018900,16.4,121700,1256,2687,1472,116285,60740,60960
594,2012,Steuben,43122,1837,156,957,966.1,705.2,13,99063,0.013600,13.1,99063,1833,1470,1690,94070,49122,49941
595,2012,Albany,56959,9972,1012,2714,888.5,696.2,32,305455,0.011800,10.5,305455,39420,16290,17313,232432,147620,157835
596,2012,Genesee,40942,1453,92,602,1004,728.6,8,59977,0.013300,13.3,59977,1909,1678,1184,55206,29808,30169
597,2012,Erie,50420,31468,4227,9315,1014,743.9,81,919086,0.008700,8.8,919086,124906,44253,32879,717048,444184,474902
598,2012,Wyoming,40436,552,51,373,890.4,764.3,7,41892,0.018800,16.7,41892,2424,1246,316,37906,22869,19023
599,2012,Suffolk,74303,28871,2127,11527,768.8,643.8,149,1499273,0.012900,9.9,1499273,111185,259534,60991,1067563,738012,761261
600,2012,Nassau,94591,19575,2458,10967,812.8,581.5,89,1349233,0.008100,6.6,1349233,153091,207002,117273,871867,653809,695424
601,2012,Westchester,139961,15040,2448,6861,713.4,534.4,76,961670,0.011100,7.9,961670,134743,219719,59934,547274,463701,497969
602,2012,Franklin,36688,1042,57,439,847.6,750.6,7,51795,0.015900,13.5,51795,3135,1665,4249,42746,28522,23273
603,2012,Wayne,42261,1845,132,824,886.4,725,12,92962,0.014600,12.9,92962,3177,3614,968,85203,46117,46845
604,2012,Montgomery,36366,1186,58,603,1207,801.2,6,49941,0.010000,12,49941,1013,6002,523,42403,24486,25455
605,2012,Columbia,53609,1425,100,636,1018,669.8,6,62499,0.009400,9.6,62499,3157,2565,1356,55421,31361,31138
606,2012,Herkimer,38947,1308,124,665,1031,685.4,4,64508,0.006000,6.2,64508,849,1152,517,61990,31661,32847
607,2012,Bronx,30989,35962,12801,8900,631.9,680.4,77,1408473,0.008700,5.5,1408473,430773,764608,59095,153997,663210,745263
608,2012,Queens,41215,40199,10753,13935,613.1,544,147,2272771,0.010500,6.5,2272771,423580,634077,583759,631355,1102593,1170178
609,2012,Rockland,71303,4325,501,2101,661.2,565.3,23,317757,0.010900,7.2,317757,37468,51899,21959,206431,155849,161908
610,2012,Monroe,52128,25410,2672,6406,856.6,668.6,67,747813,0.010500,9,747813,113537,57150,28808,548318,361171,386642
611,2012,Sullivan,42514,1931,181,755,983.2,804.7,13,76793,0.017200,16.9,76793,6870,10886,1536,57501,39375,37418
612,2012,Yates,36517,428,20,279,1101,803.8,3,25344,0.010800,11.8,25344,315,488,157,24384,12325,13019
613,2012,Madison,46169,1336,59,630,870.4,722.7,10,72382,0.015900,13.8,72382,1420,1380,1197,68385,35458,36924
614,2013,Bronx,30536,36280,13020,9078,639.9,681.5,79,1418733,0.008700,5.6,1418733,431383,774779,60226,152345,669055,749678
615,2013,Kings,47168,59056,18258,15570,600.7,593.4,123,2592149,0.007900,4.7,2592149,825601,507881,312147,946520,1229189,1362960
616,2013,Queens,41792,39913,10740,13876,604.3,530.9,141,2296175,0.010200,6.1,2296175,426963,642259,599464,627489,1115121,1181054
617,2013,Richmond,56881,7234,1658,3533,747.5,658,29,472621,0.008200,6.1,472621,47500,84441,38891,301789,228861,243760
618,2013,Albany,55772,9453,1002,2620,853.6,668.6,33,306945,0.012600,10.8,306945,39957,16982,18155,231851,148277,158668
619,2013,Allegany,38567,796,54,461,958.2,722.2,10,48109,0.021700,20.8,48109,709,744,628,46028,24278,23831
620,2013,Fulton,38325,1527,62,589,1079,764.9,6,54586,0.010200,11,54586,1185,1468,539,51394,27014,27572
621,2013,Genesee,41516,1467,109,612,1029,721.2,4,59454,0.006500,6.7,59454,1952,1737,1170,54595,29532,29922
622,2013,Greene,45387,718,58,478,986.5,687.1,7,48455,0.014600,14.4,48455,2987,2525,628,42315,25290,23165
623,2013,Hamilton,34150,62,4,67,1404,741.8,0,4773,0.000000,0,4773,60,59,37,4617,2400,2373
624,2013,Herkimer,39452,1190,126,666,1038,698.8,9,64181,0.013500,14,64181,939,1275,508,61459,31557,32624
625,2013,Jefferson,39865,2402,140,872,729.7,743.4,14,119504,0.016100,11.7,119504,7720,8385,3127,100272,62349,57155
